Location,SampleDate,SampleYear,SampleMonth,Period,Recorder,Transect,Substrate,Height,Notes,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,5.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,2.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,1.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,MACA,1.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,CALG,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,CALG,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,CALG,1.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,CALG,0.9,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,CALG,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,CALG,0.7,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,DICT,2.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,DICT,0.3,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,DICT,3.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,DICT,1.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,DICT,2.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,FIL,0.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,FIL,1.1,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,LOBO,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,LOBO,1.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,LOBO,3.3,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,LOBO,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,LOBO,2.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,LOBO,1.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,MACA,4.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,2,MACA,0.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,CALG,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,CALG,1.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,CALG,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,CALG,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,2.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.7,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.7,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,3.3,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.9,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,1.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.9,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.3,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,2.9,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.1,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.7,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.1,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.1,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.3,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FLCY,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FLCY,0.1,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,LOBO,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,3,LOBO,0.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,DICT,2.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,DICT,1.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,DICT,1.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,1.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.7,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.1,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.3,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.3,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,HALI,3.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,5,LOBO,0.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,CYAN,1.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,0.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,2.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,0.9,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,1.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,3.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,3.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,1.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.7,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.7,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.3,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.3,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,HALI,3.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,HALI,2.9,,,,
Cane Bay,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,LOBO,0.9,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,CALG,0.0,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,CALG,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,CALG,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.2,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,3.6,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,1.8,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.9,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.6,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,DICT,0.6,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.3,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,FIL,0.6,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,LOBO,0.2,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,3,LOBO,0.8,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,4,DICT,1.1,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,4,DICT,1.1,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,4,DICT,2.5,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,4,DICT,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,1.5,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.7,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,1.2,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,4,SCX,0.3,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,CALG,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,CALG,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,CALG,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,CALG,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,CYAN,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,DICT,3.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,DICT,1.5,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,DICT,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,DICT,0.8,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,DICT,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,DICT,0.3,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,DICT,1.8,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,DICT,1.3,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,DICT,2.0,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,FIL,0.7,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,FIL,1.5,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,LOBO,0.5,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,LOBO,0.5,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Marilyn Brandt,5,LOBO,0.9,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,1.0,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,0.8,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,1.0,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.9,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,1.0,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.6,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.4,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.5,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.2,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.8,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,1.0,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,HALI,4.0,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,SCX,1.0,,,,
Cane Bay Deep,8/12/2012,2012,8,Annual,Tyler Burton Smith,6,SCX,0.4,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,1,FIL,0.4,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,1,FIL,0.6,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,1,FIL,0.8,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,1,FIL,0.9,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,1,FIL,1.2,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,1,FIL,0.2,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,1,FIL,0.9,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,1,FIL,0.3,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,1,FIL,0.2,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,1,HALI,2.0,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Leslie Henderson,3,DICT,3.9,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Leslie Henderson,3,FIL,0.5,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Leslie Henderson,3,FIL,0.4,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Leslie Henderson,3,FIL,0.4,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Leslie Henderson,3,FIL,0.2,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Leslie Henderson,3,FIL,0.1,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Leslie Henderson,3,SCX,0.5,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Leslie Henderson,3,SCX,0.3,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,3,DICT,4.0,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,3,DICT,2.5,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,3,FIL,0.4,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,3,FIL,0.8,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,3,FIL,0.6,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,3,FIL,0.3,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,3,FIL,0.5,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,CYAN,0.4,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,DICT,1.2,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.9,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.6,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,2.5,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.3,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.7,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.6,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.9,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,1.1,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.8,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,1.3,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.3,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.3,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.2,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.4,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,FIL,0.3,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,4,HALI,2.8,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,DICT,1.5,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.8,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,1.5,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.5,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.8,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,1.3,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.3,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.6,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.4,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,FIL,0.8,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,5,SCX,1.1,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,0.9,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,2.8,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,DICT,5.0,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.9,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.7,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.5,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.2,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.6,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.7,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.1,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.4,,,,
Buck Island STX,8/13/2012,2012,8,Annual,Tyler Burton Smith,6,FIL,0.7,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,DICT,1.4,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,DICT,1.9,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,DICT,2.5,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,DICT,2.8,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,DICT,1.8,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,DICT,2.4,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,DICT,0.9,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,DICT,3.5,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,FIL,0.5,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,FIL,0.2,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,FIL,0.4,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,FLCY,5.0,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,FLCY,2.1,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,FLCY,1.1,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,1,HALI,3.4,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,DICT,1.2,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,DICT,3.8,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,DICT,2.5,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,DICT,0.9,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,DICT,5.0,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,DICT,0.9,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,DICT,1.3,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,DICT,2.2,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,DICT,3.4,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,DICT,1.1,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,FIL,0.3,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,FLCY,1.1,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,FLCY,1.4,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,FLCY,0.8,,,,
Jacks Bay,8/13/2012,2012,8,Annual,Leslie Henderson,2,HALI,4.4,,,,
